creador;nick_instagram;nick_tiktok;nick_youtube;nick_twitch;nick_podcast;nick_twitter;nick_facebook;check
46600_pel_mon;;46600_pel_mon;;;;;;1
ACICOM. Associació Ciutadania i Comunicació;acicom_cc;;CANAL-ACICOM;;;acicom_;ACICOM;1
Acadèmia Valenciana de la Llengua;avloficial_;;academiavalencianadelallen1454;;;AVLoficial;academiavalencianadelallengua;1
Acció Cultural del País Valencià;AccioCulturalPV;;AccioCulturalPV;;;AccioCulturalPV;AccioCulturalPV;1
Això com és?;aixocomes;;AixoComEs;;show/1YAMPJzEoEi06zZJ4zo8pT?si=b80923b8c8204444;;;1
Això no és Veritat;;;aixonoesveritat8710;;show/0qIE47HGJyc8jOvwQV6zcR?si=Usv9uRNHSnWuma52nj0fdA&nd=1;aixonoesveritat;aixonoesveritat;1
Alvamoll7;;;alvamoll7;;;Alvamoll7_Racer;;1
Animals Polítics;animals_politics;;AnimalsPolítics;;show/5hIX2SQ0aooVVBT61VxBeP?si=d506870918ee486b;;;1
Açò és de cine;acoesdecine;;açoesdecine;;show/5EpCBqXVTwVLJ9ohLDHgbU?si=590dc73cbaf5431e;;;1
Bar Trinquet;bartrinquet.podcast;;BarTrinquet;;show/0kwmCwiVJwKSrcpw2hlZLM;;;1
Casella d’Eixida;casellaeixida;;CaselladEixida;;show/2ZKRpqK8EHgtgdEBE2oXKl?si=5fa5c5dc3d734967;casellaeixida;;1
Cinestèsia;cinestesiaweb;;parlarpernocallar;;show/4Uh2oG3NtbD27kiRT7QZ4I?si=4f3c2459fb4845d0&nd=1;;;1
Cròniques Edetanes;;;;;show/3mamkXwSH9h7EwsrsiHpBs?si=2a59c4f55aa34862;;;1
De Sentit Comú;la_comarca_cientifica;;LaComarcaCientífica;;show/4B7I7a2wxi00yTwyWgxdrV;la_cocientifica;lacomarcacientifica;1
De mica en mica. Dra. Aina Monferrer;ainamonferrer;;AinaMonferrerPalmer;;;ainamonferrer;;1
Del Parpalló al Ventorro;delpalv;;delparpalloalventorro;;show/3Y841LL9bdELiTZBYz1QX0?si=7cb589b0e1384bfe&nd=1&dlsi=bb2dfe8696c44849;;;1
Disfrutons;podcastdisfrutons;podcastdisfrutons;playlist?list=PL-EOWS3CwMV1BYcOZv9aSGilxQU2pmBYk;;show/4dVHmVMXPu7qT30KPAB7xd;;;1
Diàlegs amb Emma Tomàs;dialegs_;emma.tomas;DiàlegsambEmmaTomàs;;;emmatomas_;;1
El Dolcet Pal Café;eldolcet_podcast;;eldolcetpalcafe;;show/2nfNLZxZxDENownQoQqTev?si=95bef09b048e4cf6&nd=1;eldolcetpalcafe;;1
En la motet;en_la_motet;;enlamotet;;;;;1
En peu de festa;enpeudefesta;;;;show/0uiS5f5lm0XynaCNGXRAAb?si=10dac8c90d594bfd;enpeudefesta;En-Peu-De-Festa;1
Entrant en Joc;javioje;javioje9;javioje;;show/6XfmCWwtSNuOtNEkTVOUCP?si=64ac1e7d60304c77&nd=1&dlsi=c3a6ced1e3094cdc;javioje9;;1
Entre Nosaltres;entrenosaltres_podcast;;;;show/6m8cLltG97JiI2XAe8Y6WB;;;1
Escola Valenciana;escolavalenciana;;EscolaValenciana;;;escolatv;;1
Fran Molla;fmollac76;;franmolla1538;;;FranMolla76;;1
Gent Ràndom;somgentrandom;;;;show/5ptSK1CZL2EGDz8aUNZYF3?si=5d9e1a9ea54544cb;gentrandom;;1
Greuges Pendents;greuges;;;;show/0oQBTJOEyYYCIKHfNgnVEL;greugespendents;;1
La Comoditat Valenciana;lacomoditatvalenciana;la.comoditat.vale;lacomoditatvalenciana;;show/0ihxJbgoREgikJgqe4UdKu?si=17dcf059254b4d24;lacomoditat;;1
La Nostra Veu;diarilaveu;;Laveupv;;show/5Ni3SKRUwUjVR782AvIlo9;diarilaveucat;;1
La Veu En Off;laveuenoffpodcast;;;;show/17kbPCueQUE15CB3kWF5CO?si=58c3b33ce9684806;la_veuenoff;;1
Llaurant Futur;nandodura;;LlaurantFutur;;show/0PsiqzWGuwStmffc5kIRmf?si=d664a9aed4ad4a3e;;;1
Llengua a l’abast;llenguaalabast_;llenguaalabast;llenguaalabast;;;;llengua.alabast;1
aitor_altea;aitor_altea;lletivi22;lletivi22;lletivi22;show/0kee5MPtvBwK22Wovhj7Qm?si=a763a5a0aada4b33&nd=1&dlsi=f275d60ac3e344fa;Aitormh22;;1
MARÇAL V.O;c_trencada.mvo;;marçal_vo;;;;;1
Món de llengua – Dr. Zalbidea;;;MóndellenguaDrZalbidea;;;AlaitzuZalbidea;;1
NaN – Not a Number;;;NotaNumber_podcast;;show/0F7EQ8gw6i7x7I4al8aWDq?si=830326a10b024ef4;;;1
Obrim Portes;obrimportes_podcast;;playlist?list=PLtFwvzSYndlGI0UvSQDlcUHzBS_nLA06V;;show/0kee5MPtvBwK22Wovhj7Qm?si=042619e881dc4ce8&nd=1&dlsi=9c728c35799745ba;;;1
Opus Slay;opus_slay;;OpusSlay;;show/2Yt4ZmneZNAluavC7jv2ti;OpusSlay;;1
PAI. El pòdcast;pai_elpodcast;;PAI.ELPÒDCAST;;https://www.ivoox.com/podcast-pai-el-podcast_sq_f12826635_1.html;;;1
Parlem d’Economia;;;parlemdeconomia;;;Joanrasan;Parlem-dEconomia;1
Pissiganya;pissiganyes;;;;https://www.ivoox.com/en/podcast-pissiganya_sq_f12494336_1.html?fbclid=PAZXh0bgNhZW0CMTEAAaY4tFhGLP36y1x-nXkLPivStlJsj1NNE8cwgGeOEV9DG1ckApPNKbip5d0_aem_KbdvjXodhe2TK1eibNDHuw;;;1
Pitjor que mal;pitjorquemal;;playlist?list=PLb5twMr9Zthj7Cb-YH5Vof-u0gEmyqHBg;;show/5UxW64tYv5gqjHOw4sdsLC;;;1
Pomelo Televisió;pomelo.produccions;;Pomeloenontinyent;;;PomeloTelevisio;;1
Raúl Diego presenta: el meu pòdcast, un pòdcast de Raúl Diego;rauldieg0;rauldieg0;rauldiegoo;;show/6b05w7v0CQIeymp5ifAIpB?si=5d0bbfd005384ccc;jetsetcast;;1
Sampleòpolis;;;;;show/050acyEl8zYqpIHh9OzbwW?si=235e89f0aab94524;sampleopolis;;1
S’épanouir avec Laura;sepanouiraveclaura;sepanouiraveclaura;SepanouiravecLaura;;show/21ecJuFHAXOd2dMtLjEAm0?si=63a4cadb81ab48e1;la_veuenoff;;1
TRO FM;troefeme;;;;show/7cso3gDEtUQAjPMjT1SGEV?si=aa3dc6a4bd43483e;;;1
Terrible Visió;terrible_visio;;;;show/3GiEZAOhZOali8xfLDKF8B?si=xCEEc8kOS4yGoo3Z6moiFg&utm_source=native-share-menu&nd=1;terrible_visio;;1
Tot està escrit;animals_politics;;AnimalsPolítics;;show/5hIX2SQ0aooVVBT61VxBeP?si=d506870918ee486b;;;1
Un cabàs d’històries;uncabasdhistories;;Uncabasdhistories;;show/1HmrhG0oPWfgHq37w4yszz;cabasdhistories;;1
ValSet;jetsetcast;jetsetcast;jetsetcast;;show/4JcCtlX4bJ02ASslE2JK5a;jetsetcast;;1
Viatge per les Terres Intermèdies;viatgeterresintermedies;viatge_terresintermedies;viatgeterresintermedies;;show/4mQloeqmPV4zdEcsp8wRWu?si=abe12fb7048b443a&nd=1;Viatge_T_I;;1
Xungarro;xungarro;;xungarro;;;xungarro;;1
Xusma Deluxe;xusmadeluxe;xusmadeluxe;XusmaDeluxe;;show/1l2VSTocnCV8Jf3zKOtRKR?si=784b6826d8f042f5;xusmadeluxe;;1
_elidamira;_elidamira;_elidamira;;;;;;1
_eljocdelavida_;_eljocdelavida_;;;;;;ElJocDeLaVida;1
_minoriaabsoluta;_minoriaabsoluta;;;;;;;1
abonentenedor;abonentenedor;;;;;;;1
agendarockpaisvalencia;agendarockpaisvalencia;;agendarockp;;;;;1
ainakoda;aina_nogueroles;ainakoda;ainakoda;;artist/7K16sTijV0qRblWfgvXrpF?si=_WpgYBsIT-ymImRxmqQD6A;;;1
aitana_ferrer_;aitana_ferrer_;aitanaferrer__;elventalldaitana4964;;;AitanaFerrer;;1
akablanktrll;akablanktrll;akablanktrll;;;;;;1
albertbisbal_;albertbisbal_;albertbisbal_;;;;BisbalAlbert;;1
alegriadepoble;alegriadepoble;alegriadepoble;;;;alegriadepoble1;;1
alfonselblue;alfonselblue;alfonselblue;MALPARLATTV;;artist/4w28b9GwP3c8Xszd3sUJsK?si=256f4363c578466e;alfonselblue;;1
anaabbrizz;anaabbrizz;anabrizz;;;;;;1
apala9tv;apala9tv;apala9tv;;;;apala9tv;;1
apitxat;apitxat;apitxat;;;;ApitxatTiktok;;1
arcadia_de_mireia;arcadia_de_mireia;;;;;;;1
arrelsqueparlen;arrelsqueparlen;arrelsqueparlen;;;;;;1
aucacauque;aucacauque;;;;;;aucacauquelacasacau;1
bambantxclasse;bambantxclasse;;;;;;;1
bancaldoliveres;patrilopezyago;bancaldoliveres;;;;bancaldoliveres;;1
berlem;berlem;;;;;;;1
bocinsdevalencia;bocinsdevalencia;;;;;;;1
bookcarmecarmeta_;bookcarmecarmeta_;;;;;;;1
c_trencada.mvo;c_trencada.mvo;;marçal_vo;;;;;1
cabrafotuda;cabrafotuda;cabrafotuda;;;;cabrafotuda;;1
cabut__;;cabut__;;;;;;1
camidelhorta;camidelhorta;;;;;;;1
cassalles.tragar;cassalles.tragar;;;;;;;1
cescroca;cescrocastudio;cescroca;;;;cescroca;cescrocastudio;1
clauditrips;clauditrips;clauditrips;;;;;;1
claudionga;;claudionga;;;;;;1
climentluna;;climentluna;;;;;;1
contesenvalencia;contesenvalencia;;;;show/4jIXbFfxjb4HEFaXhATdDZ?si=94562156672643b4&nd=1&dlsi=59b7e56c87164cbc;;;1
cuinerdemacasa;cuinerdemacasa;cuinerdemacasa;;;;;;1
curiosaire;curiosaire.vlc;curiosaire;;;show/2nfNLZxZxDENownQoQqTev?si=a1988871358d4df3&nd=1&dlsi=f72d4f763a7d4136;;;1
dobleveu_;dobleveu_;;;;;;;1
el_sendra;joano1984;el_sendra;;;;;;1
elcampdejordi;;elcampdejordi;;;;;;1
eldiaridesalva;eldiaridesalva;;;;;;;1
elfutboler_;elfutboler_;elfutboler_;elfutboler_6;;;;;1
elventalldaitana;elventalldaitana;;;;;;;1
emparoltra;emparoltra;emparoltra;;;;;;1
en_la_motet;en_la_motet;;enlamotet;;;;;1
endemicanatura;endemicanatura;;;;;;;1
ensucrada;ensucrada;ensucrada_;;;;;;1
escric1;escric1;;;;;escric1;;1
frases_jordi_guerola;frases_jordi_guerola;;;;;;versosifrasesenvalencia;1
galetamt;galetamt;galeta;;;;galetamt;;1
giinamart;giinamart;ginamartiinez;;;;;;1
guia.oficial.quique;guia.oficial.quique;guia.oficial.quique;;;;;;1
helemoral;helemoral;helemoral;;;;;;1
irinaescriu;irinaescriu;irinaescriu;;;;;;1
ismael__joan;ismael__joan;ismael_joan;;;;;ismael.deldrah;1
jajajers;jajajers;jajajers;jajajers;;;jajajers;;1
jaumepello;sanchezpello;jaumepello;;;;;;1
javioje;javioje;javioje9;;;;javioje9;;1
joaan.raw;joaan.raw;joaan.raw;;;;joansch_02;;1
joan_uso_;joan_uso_;melderomer.res;;;;;;1
joansaborart;joansaborart;;;;;;;1
jorge_740;jorge_740;jorge_740;jorge_740;;;jorge_740;;1
jorjamolla;jorjamolla;jorjamolla;;;;;;1
juliocebolla;juliocebolla;juliocebolla;;;;;;1
karengaf;;karengaf;;;;;;1
laprestageria;laprestatgeria;;LaprestatgeriadeMarta;;;martameneuborja;;1
larutadelsesmorzars;larutadelsesmorzars;larutadelsesmorzars;larutadelsesmorzars;;;;;1
latiavisantica;latiavisanticaalbal;latiavisantica;;;;;Latiavisanticaoficial;1
leshistoriesdelaroser;leshistoriesdelaroser;;leshistoriesdelaroser613;;;;;1
llenguesua;llenguesua;;;;;LlenguesUA;;1
llunaescriva;;llunaescriva;;;;;;1
llunalluneta24;lluna_lluneta24;llunalluneta24;;lluna_lluneta24;;;;1
loren_munoz_;loren_munoz_;loren_munoz_;pataiavant9408;;;loreen_mu;;1
luciieta_;luciieta_;luciieta_;;;;Luciieta_;;1
macisge_psico;macisge_psico;;;;;;;1
marcossant00;marcossant00;;;;;;;1
mariaamandarina;mariaamandarina;mariamandarinaa;;;;mariaamandarina;;1
mariadevesa18;mariadevesa18;;;;;;;1
marietaa0399;marietaa0399;;;;;;;1
meeryag;meeryag;meeryjane_;;;;meeryag1;;1
melderomer.res;joan_uso_;melderomer.res;;;;;;1
menuttrellat;menuttrellat;menuttrellat;;;;;;1
misstagless;misstagless;misstagless;MissTaglessSilviaPSese;misstagless;;MissTagless;;1
mundanes.wav;mundanes.wav;;;;show/4Axf8GNSgzAiyM3tD7C65u?si=caf8201bf7674596;;;1
nandodura;nandodura;nandodura;;;;;;1
naturgyal;naturgyal;;;;;;;1
paraulessilenciades;paraulessilenciades;;;;;;;1
pauguzman_;pauguzman_;pau_guzman_tomas;;;;pauguzman__;;1
paulaseserino;paulaseserino;;;;;;;1
pessiguets;pessiguets;;;;;;;1
pilarinn4;pilarinn4;pilarinn4;;;;;;1
pixels_com_a_punys;pixels_com_a_punys;;;senyor_puny;;SenyorPuny;;1
racons.pv;racons.pv;;;;;;;1
richofutx;;richofutx;;;;;;1
rockimespv;rockimespv;;;;;;;1
rodroeme;;rodroeme;;;;;;1
rosadelvent_;;rosadelvent_;;;;;;1
saladelsnoctambuls;saladelsnoctambuls;;;;;;;1
sarnatxo_de_paraules;sarnatxo_de_paraules;;;;;;;1
simmer_valenciana;simmer.valenciana;simmervalenciana;SimmerValenciana;simmer_valenciana;;SimValenciana;;1
siuelasocfeminista;siuelasocfeminista;;;;;;;1
socundinosaure;socundinosaure;socundinosaure;;;;socundinosaure;;1
sonaacasa;sonaacasa;;;;;;;1
thorlupomes;thorlupomes;thorinpome;;;;;;1
tonisoler03;tonisoler_;tonisoler03;;;;;;1
tres.voltes.rebel;tres.voltes.rebel;;;;;;;1
tresdeu;tresdeu;;tresdeu;;;revistatresdeu;;1
valenardat;valenardat;valenardat;valenardat;;show/07EPVi1nIevQNnOnVLsNQ0?si=b2574dffbd044a0e;Valenardatt;;1
valencia_dibuixada;valencia_dibuixada;;;;;;;1
valenciaalatac;valenciaalatac;;;;;;;1
valenciaperaociosos;valenciaperaociosos;;;;;;;1
valentavalentina;valentavalentina;;;;;;valenta.valentina;1
versantalfoc;versantalfoc;;;;;versantfalles;VersantalFoc;1
viclleor;viclleor;viclleor;;;;;;1
victor_iau;victor_iau;victor_iau;;;;;;1
violistevalencia;violistevalencia;;;violistevalencia;;;;1
xarq_divulgacio;xarq_divulgacio;;;;;;;1
xequinsgeeks;xequinsgeeks;;xequinsgeeks;;;;;1
xifoods;xifoods;xifoods;;;;;;1
xufet_;xufet_;xufet;;;;xufet_;;1
yerayyvee07;;;;yerayyvee07;;;;1
